VM132:16 [Output] ID: 0x4 | Payload: A0 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
VM132:16 [Output] ID: 0x4 | Payload: A0 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
VM132:16 [Output] ID: 0x4 | Payload: A0 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
VM132:16 [Output] ID: 0x4 | Payload: A0 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
VM132:16 [Output] ID: 0x4 | Payload: A0 02 04 01 0E 01 00 FC 00 29 00 00 00 00 00 00 00 00 02 FC 00 3A 00 00 03 FC 00 3B 00 00 04 FC 00 3C 00 00 05 FC 00 3D 00 00 06 FC 00 3E 00 00 07 FC 00 3F 00 00 08 FC 00 40 00 00 A5 00 00
VM132:16 [Output] ID: 0x4 | Payload: A0 02 04 02 0E 01 09 FC 00 41 00 00 0A FC 00 42 00 00 0B FC 00 43 00 00 0C FC 00 44 00 00 0D FC 00 45 00 00 0E FC 00 4C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 A5 00 00
VM132:16 [Output] ID: 0x4 | Payload: A0 02 04 03 0E 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 15 FC 00 35 00 00 16 FC 00 1E 00 00 17 FC 00 1F 00 00 18 FC 00 20 00 00 19 FC 00 21 00 00 1A FC 00 22 00 00 A5 00 00
VM132:16 [Output] ID: 0x4 | Payload: A0 02 04 04 0E 01 1B FC 00 23 00 00 1C FC 00 24 00 00 1D FC 00 25 00 00 1E FC 00 26 00 00 1F FC 00 27 00 00 20 FC 00 2D 00 00 21 FC 00 2E 00 00 22 FC 00 2A 00 00 00 00 00 00 00 00 A5 00 00
VM132:16 [Output] ID: 0x4 | Payload: A0 02 04 05 0E 01 24 FC 00 4A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2A FC 00 2B 00 00 2B FC 00 14 00 00 2C FC 00 1A 00 00 A5 00 00
VM132:16 [Output] ID: 0x4 | Payload: A0 02 04 06 0E 01 2D FC 00 08 00 00 2E FC 00 15 00 00 2F FC 00 17 00 00 30 FC 00 1C 00 00 31 FC 00 18 00 00 32 FC 00 0C 00 00 33 FC 00 12 00 00 34 FC 00 13 00 00 35 FC 00 2F 00 00 A5 00 00
VM132:16 [Output] ID: 0x4 | Payload: A0 02 04 07 0E 01 36 FC 00 30 00 00 37 FC 00 31 00 00 38 FC 00 00 00 00 39 FC 00 4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 A5 00 00
